business_name,website,city,country,email,phone,instagram,linkedin_company_url,linkedin_person_url,linkedin_source,decision_maker_name,decision_maker_title,decision_maker_email,decision_maker_phone,decision_source_url,decision_source_type,decision_confidence,score,notes,google_maps_url,quality_recommendation,quality_grade,market_role,quality_reason
Astudy,http://www.astudy.it/,Milan,IT,info@astudy.it; inbound@astudy.it,+39 02 4539 1319,https://www.instagram.com/astudyitaly,https://it.linkedin.com/company/astudy,,Apify contact scraping,,,,,,,,16,category: Travel agency; Educational consultant | rating: 4.7 | reviews: 235 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Astudy&query_place_id=ChIJqfb1tl3BhkcRhhcTpZklhhw,Keep,A,Italy education travel consultant,Travel agency plus educational consultant. Strong outbound student travel fit.
International EXPERIENCE. Expertos en educación internacional,http://international-experience.es/,Alcobendas,ES,info@international-experience.es,+34 915 71 60 95,https://www.instagram.com/internationalexperiencespain,https://www.linkedin.com/company/international-experience-spain,,Apify contact scraping,,,,,,,,16,category: Foreign exchange students organization; Educational consultant | rating: 4.6 | reviews: 348 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=International%20EXPERIENCE.%20Expertos%20en%20educaci%C3%B3n%20internacional&query_place_id=ChIJC857EGYsQg0Rgh41mkAjhnI,Keep,A,Spain international education / exchange agency,Foreign exchange and international education. Strong source-market fit.
MB Scambi Culturali srl,https://www.mbscambi.com/,Padua,IT,info@mbscambi.com; gruppimb@mbscambi.com,+39 049 875 5297,https://www.instagram.com/mbscambiculturali,https://www.linkedin.com/company/mb-scambi-culturali-srl,,Apify contact scraping,,,,,,,,16,category: Tour operator | rating: 4.8 | reviews: 300 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=MB%20Scambi%20Culturali%20srl&query_place_id=ChIJa-NWMCPbfkcRWHBseAeoVCA,Keep,A,Italy cultural exchange / study travel operator,Scambi culturali means cultural exchanges. Strong source-market lead.
TravelEnglish,https://www.travelenglish.es/,Málaga,ES,info@travelenglish.es; rmartos@travelenglish.es,+34 952 00 01 66,https://instagram.com/travel__english,https://www.linkedin.com/company/travelenglish,,Apify contact scraping,,,,,,,,16,category: Travel agency | rating: 5 | reviews: 40 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=TravelEnglish&query_place_id=ChIJTW8L4U32cg0RQUuvHV-Dzew,Keep,A,Spain language travel agency,English travel/study brand. Strong source-market lead.
Trinity ViaggiStudio,https://www.trinityviaggistudio.it/,Milan,IT,info@trinityviaggistudio.it; trinityviaggistudio@pec.it,+39 02 4871 2629,https://www.instagram.com/trinity.viaggistudio,https://www.linkedin.com/company/trinity-viaggistudio-srl,,Apify contact scraping,,,,,,,,16,category: Tour operator | rating: 4.4 | reviews: 289 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Trinity%20ViaggiStudio&query_place_id=ChIJnWf8jpHBhkcRouSn_5ujNXM,Keep,A,Italy outbound study travel operator,Viaggi studio / study travel operator. Strong convertible Italy source-market lead for UK or China programs.
inter - studioviaggi,https://www.interstudioviaggi.it/,Milan,IT,ayp@interstudioviaggi.it; vs@interstudioviaggi.it; studenti.inps@interstudioviaggi.it; stage@interstudioviaggi.it; ts@interstudioviaggi.it; individuali@interstudioviaggi.it; ssinps@interstudioviaggi.it; sl@interstudioviaggi.it; career@interstudioviaggi.it,+39 02 693361,https://www.instagram.com/interstudioviaggi,https://www.linkedin.com/company/inter-studioviaggi,,Apify contact scraping,,,,,,,,16,category: Travel agency | rating: 4 | reviews: 205 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=inter%20-%20studioviaggi&query_place_id=ChIJhZrKh9TGhkcRuedRE2b9t2g,Keep,A,Italy study travel operator,Studio viaggi / study travel operator. Strong source-market lead.
Se Viaja Education Tour.23 SL,https://www.seviaja.es/,València,ES,info@seviaja.com,+34 722 68 11 55,,,,,,,,,,,,15,category: Travel agency | rating: 5 | reviews: 13 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Se%20Viaja%20Education%20Tour.23%20SL&query_place_id=ChIJEZBhVP5JYA0R_AAT4dWnWFc,Keep,A,Spain educational travel agency,Education Tour name and travel agency category. Strong fit.
Study Tours,http://www.studytours.it/,Milan,IT,studytours@pec.it,+39 02 6559 11001,https://www.instagram.com/studytours,,,,,,,,,,,15,category: Travel agency | rating: 3.8 | reviews: 110 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=Study%20Tours&query_place_id=ChIJWQlHJ7bGhkcRoIH2c4s0SBw,Keep,A,Italy study tour operator,Name and category directly match study tours. Strong fit for UK/China study tour partnerships.
Top School,https://www.topschool.es/cursos-extranjero/ingles/,La Zubia,ES,info@topschool.es,+34 965 42 49 66,,,,,,,,,,,,15,category: Educational consultant; English language camp; English language school; Foreign exchange students organization; Foreign languages program school; Language school; Travel agency | rating:  | reviews:  | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Top%20School&query_place_id=ChIJa1jOQiz7cQ0RAUEK4Zu0O_Y,Keep,A,Spain study abroad / language camp agency,"Explicit cursos extranjero, English camp, exchange students, travel agency categories. Strong fit."
VIVA International,https://vivasummercamp.it/,Milan,IT,info@vivalanguage.it,+39 02 8410 4908,,,,,,,,,,,,15,category: Tour operator | rating: 5 | reviews: 33 | source: italy_apify_aborted,https://www.google.com/maps/search/?api=1&query=VIVA%20International&query_place_id=ChIJh4B3KunHhkcR5KkckS8uzVo,Keep,A,Italy summer camp / study travel operator,Summer-camp/study-travel positioning. Strong youth education source-market fit.
Active Global Inglés House,http://www.cursosenelextranjero.net/,Almería,ES,,+34 950 27 16 83,https://www.instagram.com/activeglobaleh,https://www.linkedin.com/company/active-global-english-house,,Apify contact scraping,,,,,,,,14,category: Travel agency | rating: 4.8 | reviews: 28 | source: spain_apify_aborted,https://www.google.com/maps/search/?api=1&query=Active%20Global%20Ingl%C3%A9s%20House&query_place_id=ChIJZ_P_8gF2cA0Rqh7Rxd-v2V8,Keep,A,Spain outbound language travel agency,Cursos en el extranjero domain and English-study travel angle. Strong Spain source-market lead.
